Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAPOWER,EQ,01-Jan-03,111.7,112.3,112.3,111.05,111.65,111.45,111.58,105301,11749225.3,-,35001,33.24
TATAPOWER,EQ,02-Jan-03,111.45,111.2,111.95,110.15,110.5,110.45,111.06,112308,12472530.85,-,61653,54.9
TATAPOWER,EQ,03-Jan-03,110.45,111.15,111.9,109.05,109.25,109.25,110.03,93582,10296827,-,54118,57.83
TATAPOWER,EQ,06-Jan-03,109.25,109.6,110.5,107.45,107.65,107.8,108.98,124951,13616753.8,-,63316,50.67
TATAPOWER,EQ,07-Jan-03,107.8,109.8,109.8,106.2,106.55,106.55,107.02,107587,11514225.7,-,69794,64.87
TATAPOWER,EQ,08-Jan-03,106.55,106.95,108.5,106.05,108.2,108.05,107.57,111266,11968861,-,68156,61.26
TATAPOWER,EQ,09-Jan-03,108.05,108,110.25,107.7,110.1,109.75,109.47,147080,16100852.3,-,85821,58.35
TATAPOWER,EQ,10-Jan-03,109.75,111.45,111.45,107.9,108.3,108.3,108.9,100229,10915323.8,-,50210,50.1
TATAPOWER,EQ,13-Jan-03,108.3,109,109.75,107.2,109.35,109.45,108.85,149142,16233693.85,-,89032,59.7
TATAPOWER,EQ,14-Jan-03,109.45,109.1,110.1,108.25,110,109.9,109.46,165091,18070051.4,-,106623,64.58
TATAPOWER,EQ,15-Jan-03,109.9,110.05,111,109.4,110.7,110.35,110.09,171389,18867366.15,-,120247,70.16
TATAPOWER,EQ,16-Jan-03,110.35,111.5,111.5,109.85,110.8,110.95,110.61,122255,13522943.7,-,76864,62.87
TATAPOWER,EQ,17-Jan-03,110.95,111.75,111.9,110.5,111.7,111.65,111.41,130464,14534860.45,-,63325,48.54
TATAPOWER,EQ,20-Jan-03,111.65,112.9,113.55,112,113,113,113.02,368160,41609567.85,-,272079,73.9
TATAPOWER,EQ,21-Jan-03,113,113.8,114,111.25,112.25,112.3,112.52,118776,13365188.2,-,61384,51.68
TATAPOWER,EQ,22-Jan-03,112.3,112.8,113.55,111.25,111.85,112.05,111.96,114527,12822037.4,-,65900,57.54
TATAPOWER,EQ,23-Jan-03,112.05,112,113.1,109.5,110,110.05,110.23,195334,21531669.45,-,140557,71.96
TATAPOWER,EQ,24-Jan-03,110.05,114,114.95,111.5,112,112.1,113.42,842682,95574641.5,-,303020,35.96
TATAPOWER,EQ,27-Jan-03,112.1,112.5,113,108.8,110,109.75,110.7,555207,61458688.4,-,419499,75.56
TATAPOWER,EQ,28-Jan-03,109.75,111,112.5,108,111.25,111.65,111.08,281208,31236122.95,-,161433,57.41
TATAPOWER,EQ,29-Jan-03,111.65,112.8,112.95,111.1,111.85,112.2,112.19,213315,23931130.2,-,123795,58.03
TATAPOWER,EQ,30-Jan-03,112.2,112.3,112.8,110.1,110.6,111,111.77,299603,33487015.6,-,171578,57.27
TATAPOWER,EQ,31-Jan-03,111,111.8,111.9,108.8,111.15,111.1,110.65,188286,20834143.75,-,122128,64.86
TATAPOWER,EQ,03-Feb-03,111.1,112,116.25,111,115.5,115.05,114.33,446528,51052529.95,-,237377,53.16
TATAPOWER,EQ,04-Feb-03,115.05,116.05,118.75,115.55,116.35,116.75,117.32,634950,74495024.55,-,308964,48.66
TATAPOWER,EQ,05-Feb-03,116.75,117.5,120,116.5,117.15,117.55,118.51,802100,95054909.75,-,336697,41.98
TATAPOWER,EQ,06-Feb-03,117.55,117.7,119,117.1,117.85,117.65,117.93,394091,46476895.5,-,244583,62.06
TATAPOWER,EQ,07-Feb-03,117.65,118.4,120.7,116.5,119,118.9,119.18,729494,86940542.45,-,307315,42.13
TATAPOWER,EQ,10-Feb-03,118.9,119.5,121.4,118.3,120.45,120.3,120.11,869578,104448630.8,-,405195,46.6
TATAPOWER,EQ,11-Feb-03,120.3,120.8,121.5,118.2,118.55,118.45,119.7,509481,60985446.7,-,241932,47.49
TATAPOWER,EQ,12-Feb-03,118.45,118.95,118.95,115.75,116.8,117,117.08,287570,33669151.5,-,115032,40
TATAPOWER,EQ,14-Feb-03,117,116,117.4,114.6,116.1,115.7,115.97,289421,33562747.3,-,155236,53.64
TATAPOWER,EQ,17-Feb-03,115.7,117.75,120.85,117.75,120.4,120.2,119.31,543154,64805138.85,-,271739,50.03
TATAPOWER,EQ,18-Feb-03,120.2,120.5,122.5,119.55,119.6,119.95,120.83,547863,66198899.25,-,191703,34.99
TATAPOWER,EQ,19-Feb-03,119.95,120.8,121.75,120.05,120.45,120.3,120.96,401836,48605419.75,-,207084,51.53
TATAPOWER,EQ,20-Feb-03,120.3,124.9,124.9,121.6,123,122.7,122.92,1027937,126355713.6,-,411134,40
TATAPOWER,EQ,21-Feb-03,122.7,123,123,120.75,121.8,121.3,121.44,234103,28429552.3,-,110441,47.18
TATAPOWER,EQ,24-Feb-03,121.3,122.15,122.75,121.3,121.85,121.75,121.93,365657,44585253.9,-,221733,60.64
TATAPOWER,EQ,25-Feb-03,121.75,121.9,122,120.2,120.75,120.75,120.79,299974,36234634.15,-,206887,68.97
TATAPOWER,EQ,26-Feb-03,120.75,121.75,121.75,119,119.95,119.9,120.3,241268,29024766.9,-,71046,29.45
TATAPOWER,EQ,27-Feb-03,119.9,117.05,122.85,117.05,122.85,122.2,121.78,752585,91647605.25,-,332198,44.14
